Order_ID,Customer_Age,Product_Category,Price,Discount,Delivery_Time,Rating,Previous_Returns,Payment_Method,Returned
1001,56,Beauty,1060,14,8,2,4,COD,1
1002,28,Home,47391,35,9,2,3,Card,1
1003,55,Electronics,5511,20,9,1,2,Card,1
1004,44,Home,19142,41,8,1,2,Card,1
1005,24,Clothing,14702,17,7,2,2,Card,1
1006,43,Clothing,23683,6,9,2,3,Card,1
1007,23,Electronics,13617,3,7,2,3,Card,1
1008,53,Electronics,32806,47,6,2,2,Card,1
1009,35,Home,9468,23,6,1,2,Card,1
1010,32,Clothing,49416,24,9,2,4,Card,1
1011,28,Home,39704,7,7,1,4,COD,1
1012,58,Beauty,22862,8,8,2,4,COD,1
1013,41,Clothing,31018,43,6,1,4,COD,1
1014,31,Home,17612,25,7,1,3,COD,1
1015,30,Home,48902,31,9,2,3,COD,1
1016,54,Home,6574,44,9,2,3,COD,1
1017,59,Clothing,42757,5,6,2,4,COD,1
1018,50,Clothing,1506,12,6,2,2,COD,1
1019,59,Beauty,863,14,6,2,3,COD,1
1020,29,Electronics,44617,2,8,1,2,Card,1
1021,19,Electronics,47523,22,7,2,2,COD,1
1022,43,Beauty,26509,31,6,1,4,Card,1
1023,55,Beauty,40972,33,8,2,3,COD,1
1024,33,Clothing,26570,19,8,1,4,COD,1
1025,58,Clothing,18543,38,6,1,3,Card,1
1026,40,Home,20645,41,9,1,2,Card,1
1027,19,Clothing,38391,11,6,1,4,COD,1
1028,36,Beauty,1354,19,9,1,3,COD,1
1029,57,Beauty,48554,47,9,2,3,COD,1
1030,35,Electronics,3069,34,7,1,2,Card,1
1031,37,Beauty,22599,7,9,1,4,Card,1
1032,39,Home,17629,45,8,2,4,Card,1
1033,51,Clothing,32552,27,8,2,4,COD,1
1034,34,Beauty,18789,28,9,1,2,COD,1
1035,48,Home,899,32,6,1,4,Card,1
1036,35,Clothing,32945,30,9,2,3,Card,1
1037,49,Home,11293,22,6,2,2,Card,1
1038,26,Home,12733,47,8,2,3,COD,1
1039,42,Beauty,8916,6,9,1,3,Card,1
1040,33,Electronics,25747,22,8,2,3,COD,1
1041,39,Electronics,31489,21,7,1,4,Card,1
1042,54,Clothing,14799,43,7,2,4,Card,1
1043,52,Home,7279,15,6,1,4,Card,1
1044,36,Beauty,38145,25,8,1,2,Card,1
1045,29,Clothing,1281,0,9,1,2,COD,1
1046,56,Beauty,9862,4,9,2,4,Card,1
1047,54,Electronics,19328,28,9,2,3,COD,1
1048,43,Beauty,29422,35,6,2,3,Card,1
1049,48,Electronics,23489,18,9,2,4,Card,1
1050,19,Clothing,49315,31,6,2,2,COD,1
1051,54,Beauty,40970,0,6,1,4,Card,1
1052,19,Clothing,27322,49,7,1,3,Card,1
1053,43,Electronics,617,40,6,2,4,COD,1
1054,46,Beauty,40555,24,6,2,2,Card,1
1055,41,Beauty,49016,34,9,2,4,COD,1
1056,49,Clothing,45011,48,7,1,2,COD,1
1057,37,Beauty,928,21,6,1,4,Card,1
1058,29,Clothing,35470,27,6,2,2,COD,1
1059,52,Beauty,23776,20,6,1,3,COD,1
1060,56,Electronics,37697,4,8,2,2,COD,1
1061,27,Electronics,35507,16,8,2,3,COD,1
1062,19,Clothing,22756,36,9,2,2,COD,1
1063,24,Clothing,1524,3,7,2,4,COD,1
